Date,time_from_start,Character_type,position.x
1706251078806,12.96662,Male,-6
1706251079083,13.17019,Male,-6
1706251079291,13.37945,Male,-6
1706251079500,13.58802,Male,-6
1706251079709,13.79747,Male,-6
1706251079919,14.00693,Male,-6
1706251080127,14.21629,Male,-6
1706251080337,14.42607,Male,-6
1706251080546,14.63425,Male,-6
1706251080756,14.84389,Male,-6
1706251080965,15.05312,Male,-6
1706251081174,15.26257,Male,-6
1706251081383,15.47081,Male,-6
1706251081591,15.67946,Male,-6
1706251081800,15.88822,Male,-6
1706251082008,16.09678,Male,-6
1706251082218,16.30523,Male,-6
1706251082425,16.51433,Male,-6
1706251082635,16.72326,Male,-6
1706251082846,16.93428,Male,-6
1706251083054,17.14223,Male,-6
1706251083262,17.34985,Male,-6
1706251083470,17.55922,Male,-6
1706251083680,17.76798,Male,-6
1706251083889,17.9772,Male,-6
1706251084098,18.18559,Male,-6
1706251084307,18.39522,Male,-6
1706251084514,18.60207,Male,-6
1706251084721,18.80924,Male,-6
1706251084930,19.01803,Male,-6
1706251085140,19.22776,Male,-6
1706251085347,19.43561,Male,-6
1706251085557,19.64536,Male,-6
1706251085765,19.85344,Male,-6
1706251085974,20.0636,Male,-6
1706251086184,20.27217,Male,-6
1706251086394,20.48187,Male,-6
1706251086603,20.6901,Male,-6
1706251086812,20.90011,Male,-6
1706251087021,21.10804,Male,-6
1706251087229,21.31809,Male,-6
1706251087439,21.52685,Male,-6
1706251087647,21.73559,Male,-6
1706251087857,21.94478,Male,-6
1706251088065,22.15343,Male,-6
1706251088274,22.36288,Male,-6
1706251088484,22.57137,Male,-6
1706251088694,22.78157,Male,-5.915595
1706251088901,22.98893,Male,-5.708233
1706251089110,23.19772,Male,-5.499444
1706251089319,23.40708,Male,-5.290083
1706251089527,23.61725,Male,-5.07991
1706251089737,23.82488,Male,-4.87228
1706251089945,24.0333,Male,-4.663863
1706251090155,24.2422,Male,-4.454965
1706251090364,24.45192,Male,-4.245242
1706251090572,24.66022,Male,-4.03694
1706251090782,24.86993,Male,-3.827226
1706251090990,25.07935,Male,-3.617814
1706251091199,25.28704,Male,-3.410121
1706251091408,25.49656,Male,-3.200601
1706251091617,25.70635,Male,-2.990814
1706251091826,25.91457,Male,-2.78259
1706251092035,26.12769,Male,-2.56947
1706251092244,26.33214,Male,-2.365024
1706251092453,26.54091,Male,-2.156246
1706251092662,26.74925,Male,-1.947913
1706251092870,26.95918,Male,-1.737975
1706251093080,27.16735,Male,-1.529806
1706251093288,27.37652,Male,-1.320639
1706251093497,27.58614,Male,-1.111017
1706251093706,27.7934,Male,-0.9037605
1706251093915,28.00284,Male,-0.7360927
1706251094124,28.2121,Male,-0.7360927
1706251094332,28.42052,Male,-0.7360927
1706251094541,28.62923,Male,-0.7360927
1706251094750,28.83925,Male,-0.7360927
1706251094959,29.04706,Male,-0.7360927
1706251095167,29.25688,Male,-0.7360927
1706251095376,29.4681,Male,-0.7360927
1706251095584,29.67444,Male,-0.7360927
1706251095793,29.88284,Male,-0.7360927
1706251096002,30.09223,Male,-0.7360927
1706251096211,30.30149,Male,-0.7360927
1706251096427,30.51828,Male,-0.7360927
