Date,time_from_start,Character_type,position.x
1706096744397,6.114008,Male,-6
1706096744632,6.314785,Male,-6
1706096744834,6.516177,Male,-6
1706096745034,6.716704,Male,-6
1706096745237,6.919166,Male,-6
1706096745437,7.119648,Male,-6
1706096745638,7.319764,Male,-6
1706096745839,7.520475,Male,-6
1706096746042,7.724416,Male,-6
1706096746243,7.92503,Male,-6
1706096746445,8.127138,Male,-6
1706096746646,8.328516,Male,-6
1706096746848,8.529992,Male,-6
1706096747049,8.73173,Male,-6
1706096747253,8.93476,Male,-6
1706096747453,9.135123,Male,-6
1706096747653,9.335663,Male,-6
1706096747854,9.536045,Male,-6
1706096748055,9.73689,Male,-6
1706096748259,9.940796,Male,-6
1706096748462,10.14343,Male,-6
1706096748664,10.34628,Male,-6
1706096748868,10.55027,Male,-6
1706096749069,10.75149,Male,-6
1706096749273,10.95506,Male,-6
1706096749475,11.15775,Male,-6
1706096749679,11.36051,Male,-6
1706096749879,11.56055,Male,-6
1706096750082,11.76385,Male,-6
1706096750286,11.96775,Male,-6
1706096750488,12.1704,Male,-6
1706096750689,12.37109,Male,-6
1706096750892,12.57396,Male,-6
1706096751094,12.77674,Male,-6
1706096751297,12.97937,Male,-6
1706096751498,13.17999,Male,-6
1706096751701,13.38323,Male,-6
1706096751905,13.58685,Male,-6
1706096752106,13.78782,Male,-6
1706096752309,13.99146,Male,-6
1706096752513,14.1948,Male,-6
1706096752713,14.39543,Male,-6
1706096752914,14.59649,Male,-6
1706096753115,14.79706,Male,-6
1706096753318,15.0001,Male,-6
1706096753520,15.20237,Male,-6
1706096753725,15.4067,Male,-6
1706096753927,15.60987,Male,-6
1706096754128,15.81098,Male,-6
1706096754329,16.01165,Male,-5.90884
1706096754532,16.21419,Male,-5.706305
1706096754732,16.41476,Male,-5.505739
1706096754933,16.61497,Male,-5.305533
1706096755136,16.81851,Male,-5.101987
1706096755337,17.01883,Male,-4.901673
1706096755540,17.22219,Male,-4.69832
1706096755743,17.42591,Male,-4.494604
1706096755945,17.62728,Male,-4.293236
1706096756146,17.82845,Male,-4.092065
1706096756347,18.0291,Male,-3.891411
1706096756550,18.23218,Male,-3.688343
1706096756753,18.43511,Male,-3.48541
1706096756956,18.63816,Male,-3.282365
1706096757157,18.83884,Male,-3.08169
1706096757359,19.04079,Male,-2.87974
1706096757559,19.24104,Male,-2.679495
1706096757762,19.44329,Male,-2.477242
1706096757964,19.64655,Male,-2.273984
1706096758165,19.8474,Male,-2.073138
1706096758371,20.05293,Male,-1.953296
1706096758571,20.25332,Male,-1.953296
1706096758773,20.45557,Male,-1.953296
1706096758976,20.65796,Male,-1.953296
1706096759176,20.85801,Male,-1.847648
1706096759379,21.06079,Male,-1.644873
1706096759580,21.26226,Male,-1.443399
1706096759784,21.46671,Male,-1.238956
1706096759985,21.66718,Male,-1.03849
1706096760185,21.86766,Male,-0.8380098
1706096760387,22.06928,Male,-0.749628
1706096760590,22.27172,Male,-0.749628
1706096760790,22.47272,Male,-0.749628
1706096760992,22.67395,Male,-0.749628
1706096761193,22.87514,Male,-0.749628
1706096761393,23.07544,Male,-0.749628
1706096761593,23.27579,Male,-0.749628
1706096761794,23.4759,Male,-0.749628
1706096761996,23.67847,Male,-0.749628
1706096762199,23.88149,Male,-0.749628
1706096762401,24.08295,Male,-0.749628
1706096762602,24.28476,Male,-0.749628
1706096762802,24.48492,Male,-0.749628
1706096763005,24.68689,Male,-0.749628
1706096763208,24.89038,Male,-0.749628
1706096763410,25.09235,Male,-0.749628
1706096763612,25.29403,Male,-0.749628
1706096763814,25.49669,Male,-0.749628
1706096764016,25.69848,Male,-0.749628
1706096764219,25.90043,Male,-0.749628
1706096764419,26.10065,Male,-0.749628
1706096764619,26.30081,Male,-0.749628
1706096764820,26.5014,Male,-0.749628
1706096765020,26.70197,Male,-0.749628
1706096765223,26.90519,Male,-0.749628
1706096765424,27.10616,Male,-0.749628
1706096765627,27.30895,Male,-0.749628
1706096765831,27.51289,Male,-0.749628
1706096766034,27.71647,Male,-0.749628
1706096766235,27.91733,Male,-0.749628
1706096766439,28.12117,Male,-0.749628
1706096766643,28.32489,Male,-0.749628
1706096766845,28.52699,Male,-0.749628
1706096767047,28.72946,Male,-0.749628
1706096767248,28.92988,Male,-0.749628
1706096767448,29.13009,Male,-0.749628
1706096767650,29.33203,Male,-0.749628
1706096767851,29.5332,Male,-0.749628
1706096768053,29.73557,Male,-0.749628
1706096768257,29.9395,Male,-0.749628
1706096768459,30.14054,Male,-0.749628
1706096768661,30.34302,Male,-0.749628
1706096768864,30.54617,Male,-0.749628
1706096769065,30.74753,Male,-0.749628
1706096769268,30.95052,Male,-0.749628
1706096769470,31.15247,Male,-0.749628
1706096769674,31.3565,Male,-0.749628
1706096769875,31.55696,Male,-0.749628
1706096770077,31.75921,Male,-0.749628
1706096770279,31.96135,Male,-0.7537511
1706096770481,32.16263,Male,-0.9549019
1706096770681,32.36308,Male,-1.155224
1706096770881,32.56354,Male,-1.355553
1706096771085,32.76755,Male,-1.559435
1706096771286,32.96825,Male,-1.760002
1706096771487,33.16914,Male,-1.960773
1706096771690,33.37167,Male,-2.16317
1706096771893,33.57502,Male,-2.366387
1706096772096,33.77822,Male,-2.56946
1706096772297,33.97905,Male,-2.770165
1706096772500,34.1823,Male,-2.97328
1706096772701,34.38268,Male,-3.173534
1706096772901,34.58327,Male,-3.373997
1706096773102,34.7835,Male,-3.574103
1706096773302,34.98373,Male,-3.774207
1706096773505,35.18699,Male,-3.977332
1706096773708,35.39065,Male,-4.180861
1706096773911,35.59344,Male,-4.383524
1706096774113,35.79475,Male,-4.584705
1706096774314,35.99614,Male,-4.785969
1706096774515,36.19735,Male,-4.987053
1706096774715,36.39751,Male,-5.18708
1706096774917,36.59933,Male,-5.38878
1706096775119,36.80061,Male,-5.589923
