Date,time_from_start,Character_type,position.x
1706094556213,7.323367,Male,-6
1706094556446,7.523774,Male,-6
1706094556650,7.727533,Male,-6
1706094556851,7.928851,Male,-6
1706094557052,8.130335,Male,-6
1706094557256,8.334188,Male,-6
1706094557460,8.538187,Male,-6
1706094557664,8.741995,Male,-6
1706094557867,8.944627,Male,-6
1706094558068,9.146162,Male,-6
1706094558269,9.34735,Male,-6
1706094558471,9.549049,Male,-6
1706094558673,9.75153,Male,-6
1706094558874,9.952281,Male,-6
1706094559077,10.15533,Male,-6
1706094559278,10.35598,Male,-6
1706094559480,10.55842,Male,-6
1706094559681,10.75886,Male,-6
1706094559881,10.9593,Male,-6
1706094560084,11.16175,Male,-6
1706094560287,11.36458,Male,-6
1706094560490,11.56837,Male,-6
1706094560691,11.7694,Male,-6
1706094560894,11.97174,Male,-6
1706094561094,12.17249,Male,-6
1706094561298,12.37615,Male,-6
1706094561500,12.57792,Male,-6
1706094561701,12.77886,Male,-6
1706094561905,12.9823,Male,-6
1706094562105,13.18244,Male,-6
1706094562306,13.38436,Male,-6
1706094562509,13.58685,Male,-6
1706094562710,13.78857,Male,-6
1706094562910,13.98869,Male,-6
1706094563114,14.19158,Male,-6
1706094563314,14.39261,Male,-6
1706094563518,14.59644,Male,-6
1706094563721,14.79851,Male,-6
1706094563922,14.99994,Male,-6
1706094564126,15.20378,Male,-6
1706094564327,15.4053,Male,-6
1706094564530,15.60802,Male,-6
1706094564731,15.809,Male,-6
1706094564932,16.00965,Male,-6
1706094565134,16.21204,Male,-6
1706094565336,16.41454,Male,-6
1706094565539,16.61659,Male,-6
1706094565740,16.81816,Male,-6
1706094565943,17.02012,Male,-6
1706094566144,17.22223,Male,-6
1706094566348,17.42587,Male,-5.960288
1706094566549,17.62702,Male,-5.759152
1706094566750,17.82813,Male,-5.558046
1706094566951,18.02929,Male,-5.356895
1706094567152,18.23035,Male,-5.155849
1706094567355,18.43312,Male,-4.953089
1706094567557,18.63538,Male,-4.750831
1706094567758,18.83633,Male,-4.549892
1706094567959,19.03739,Male,-4.348839
1706094568161,19.23957,Male,-4.342118
1706094568363,19.44044,Male,-4.342118
1706094568564,19.642,Male,-4.342118
1706094568764,19.8422,Male,-4.342118
1706094568968,20.04604,Male,-4.342118
1706094569169,20.24751,Male,-4.2259
1706094569370,20.44859,Male,-4.024827
1706094569571,20.64885,Male,-3.824578
1706094569772,20.85044,Male,-3.622988
1706094569974,21.05275,Male,-3.420688
1706094570177,21.25459,Male,-3.218855
1706094570388,21.46597,Male,-3.007483
1706094570592,21.66953,Male,-2.803937
1706094570796,21.87374,Male,-2.599733
1706094570998,22.0759,Male,-2.422361
1706094571200,22.27758,Male,-2.422361
1706094571402,22.47961,Male,-2.422361
1706094571604,22.68214,Male,-2.422361
1706094571805,22.88238,Male,-2.422361
1706094572005,23.08289,Male,-2.422361
1706094572205,23.28325,Male,-2.422361
1706094572407,23.48512,Male,-2.422361
1706094572609,23.6872,Male,-2.393883
1706094572809,23.8872,Male,-2.19389
1706094573011,24.0889,Male,-1.9922
1706094573211,24.28952,Male,-1.791592
1706094573414,24.49231,Male,-1.588806
1706094573618,24.69588,Male,-1.38525
1706094573822,24.89976,Male,-1.181375
1706094574025,25.10342,Male,-0.9777246
1706094574228,25.30613,Male,-0.7750194
1706094574428,25.50622,Male,-0.7465747
1706094574631,25.70902,Male,-0.7465747
1706094574832,25.91053,Male,-0.7465747
1706094575034,26.11251,Male,-0.7465747
1706094575235,26.31386,Male,-0.7465747
1706094575439,26.51711,Male,-0.7465747
1706094575642,26.71992,Male,-0.7465747
1706094575844,26.92186,Male,-0.7465747
1706094576046,27.12432,Male,-0.7465747
1706094576248,27.32581,Male,-0.7465747
1706094576449,27.52734,Male,-0.7465747
1706094576651,27.72878,Male,-0.7465747
1706094576852,27.93044,Male,-0.7465747
1706094577055,28.13252,Male,-0.7465747
1706094577256,28.33441,Male,-0.7465747
1706094577458,28.53581,Male,-0.7465747
1706094577658,28.73611,Male,-0.7465747
1706094577860,28.9383,Male,-0.7465747
1706094578062,29.14005,Male,-0.7465747
1706094578265,29.343,Male,-0.7465747
1706094578469,29.5472,Male,-0.7465747
1706094578672,29.75013,Male,-0.7465747
1706094578873,29.95141,Male,-0.7465747
1706094579076,30.15405,Male,-0.7465747
1706094579279,30.35721,Male,-0.7465747
1706094579481,30.55917,Male,-0.7465747
1706094579685,30.76277,Male,-0.7465747
1706094579886,30.96471,Male,-0.7465747
1706094580087,31.16505,Male,-0.7465747
1706094580290,31.3687,Male,-0.7465747
1706094580492,31.57011,Male,-0.7465747
1706094580694,31.77209,Male,-0.7465747
1706094580896,31.9744,Male,-0.7465747
1706094581098,32.17552,Male,-0.7465747
1706094581299,32.37683,Male,-0.7465747
1706094581499,32.57739,Male,-0.7465747
1706094581703,32.78054,Male,-0.7465747
1706094581903,32.98119,Male,-0.7465747
1706094582107,33.18476,Male,-0.7465747
1706094582308,33.38618,Male,-0.7465747
1706094582510,33.58807,Male,-0.7465747
1706094582713,33.79138,Male,-0.7465747
1706094582916,33.99409,Male,-0.7465747
1706094583117,34.19474,Male,-0.7465747
1706094583318,34.39639,Male,-0.7465747
1706094583518,34.59644,Male,-0.7465747
1706094583721,34.79917,Male,-0.7465747
1706094583923,35.00056,Male,-0.7465747
1706094584123,35.20073,Male,-0.7465747
1706094584326,35.40457,Male,-0.7465747
1706094584529,35.60701,Male,-0.7465747
1706094584730,35.80759,Male,-0.7465747
1706094584931,36.00894,Male,-0.7465747
1706094585134,36.21157,Male,-0.7465747
1706094585334,36.41187,Male,-0.7465747
1706094585535,36.61348,Male,-0.7465747
1706094585737,36.81478,Male,-0.7465747
1706094585939,37.01714,Male,-0.7465747
1706094586143,37.22041,Male,-0.7465747
1706094586343,37.42091,Male,-0.7465747
1706094586545,37.62275,Male,-0.7465747
1706094586747,37.82535,Male,-0.7465747
1706094586948,38.0264,Male,-0.7465747
1706094587149,38.22702,Male,-0.7465747
1706094587351,38.42906,Male,-0.7465747
1706094587552,38.63005,Male,-0.8631561
1706094587753,38.83085,Male,-1.063822
1706094587953,39.03131,Male,-1.264154
1706094588156,39.23367,Male,-1.466387
1706094588359,39.43705,Male,-1.669633
1706094588562,39.63988,Male,-1.872337
1706094588763,39.84094,Male,-2.07327
1706094588964,40.04198,Male,-2.274188
1706094589164,40.24219,Male,-2.474266
1706094589367,40.44532,Male,-2.677267
1706094589570,40.64778,Male,-2.879594
1706094589770,40.84882,Male,-3.080503
1706094589974,41.05166,Male,-3.283224
1706094590175,41.25319,Male,-3.484618
1706094590378,41.45554,Male,-3.68684
1706094590580,41.65837,Male,-3.889544
1706094590783,41.86064,Male,-4.091684
1706094590984,42.06147,Male,-4.292389
1706094591184,42.26214,Male,-4.492925
1706094591385,42.46276,Male,-4.693421
1706094591588,42.66632,Male,-4.89685
1706094591792,42.87028,Male,-5.100674
1706094591993,43.07117,Male,-5.301437
1706094592196,43.27396,Male,-5.504102
1706094592399,43.47698,Male,-5.706991
1706094592600,43.67785,Male,-5.907733
1706094592801,43.87867,Male,-6.108425
1706094593002,44.07978,Male,-6.309399
1706094593204,44.28187,Male,-6.511367
1706094593405,44.48282,Male,-6.712188
1706094593608,44.68652,Male,-6.915753
1706094593811,44.88895,Male,-7.118057
1706094594011,45.08905,Male,-7.318029
1706094594213,45.29079,Male,-7.519645
1706094594416,45.49448,Male,-7.723203
1706094594617,45.69497,Male,-7.923563
1706094594820,45.89798,Male,-8.126439
1706094595020,46.09836,Male,-8.326696
1706094595222,46.3001,Male,-8.528309
1706094595425,46.50259,Male,-8.730669
1706094595629,46.70667,Male,-8.934622
1706094595831,46.90923,Male,-9.137048
1706094596033,47.11089,Male,-9.338588
1706094596236,47.31363,Male,-9.541193
1706094596439,47.51742,Male,-9.744854
1706094596643,47.72091,Male,-9.94821
1706094596847,47.92517,Male,-10.15235
1706094597050,48.12809,Male,-10.35513
1706094597251,48.32948,Male,-10.5564
1706094597455,48.53261,Male,-10.7594
1706094597656,48.73417,Male,-10.96083
1706094597859,48.93734,Male,-11.07355
1706094598064,49.14121,Male,-11.07355
1706094598267,49.34522,Male,-11.07355
1706094598468,49.54614,Male,-11.07355
1706094598671,49.74907,Male,-11.07355
1706094598871,49.94965,Male,-11.07355
1706094599074,50.15244,Male,-11.07355
1706094599277,50.355,Male,-11.07355
1706094599480,50.55781,Male,-11.07355
1706094599683,50.76052,Male,-11.07355
1706094599885,50.96239,Male,-11.07355
1706094600087,51.16536,Male,-11.07355
1706094600290,51.36805,Male,-11.07355
1706094600492,51.57026,Male,-11.07355
1706094600694,51.77217,Male,-11.07355
1706094600897,51.97465,Male,-11.07355
1706094601099,52.17686,Male,-11.07355
1706094601301,52.37953,Male,-11.07355
1706094601504,52.58198,Male,-11.07355
1706094601706,52.78423,Male,-11.07355
1706094601909,52.98732,Male,-11.07355
1706094602110,53.18776,Male,-11.07355
1706094602312,53.39011,Male,-11.07355
1706094602513,53.59151,Male,-11.07355
1706094602714,53.79222,Male,-11.07355
1706094602918,53.99575,Male,-11.07355
