Date,time_from_start,Character_type,position.x
1706096551484,5.377124,Male,-6
1706096551722,5.579834,Male,-6
1706096551924,5.781624,Male,-6
1706096552126,5.983859,Male,-6
1706096552330,6.187484,Male,-6
1706096552532,6.390203,Male,-6
1706096552733,6.591153,Male,-6
1706096552937,6.794555,Male,-6
1706096553138,6.996255,Male,-6
1706096553340,7.197595,Male,-6
1706096553541,7.398417,Male,-6
1706096553743,7.600968,Male,-6
1706096553944,7.801676,Male,-6
1706096554145,8.002362,Male,-6
1706096554348,8.205616,Male,-6
1706096554549,8.406711,Male,-6
1706096554749,8.607209,Male,-6
1706096554952,8.809652,Male,-6
1706096555155,9.012942,Male,-6
1706096555356,9.214276,Male,-6
1706096555557,9.414939,Male,-6
1706096555758,9.616137,Male,-6
1706096555960,9.817822,Male,-6
1706096556164,10.02132,Male,-6
1706096556365,10.22206,Male,-6
1706096556568,10.42547,Male,-6
1706096556769,10.6272,Male,-6
1706096556970,10.82765,Male,-6
1706096557172,11.0299,Male,-6
1706096557373,11.23065,Male,-6
1706096557574,11.43165,Male,-6
1706096557774,11.63237,Male,-6
1706096557977,11.83467,Male,-6
1706096558178,12.03625,Male,-6
1706096558379,12.23672,Male,-6
1706096558583,12.44017,Male,-6
1706096558786,12.6431,Male,-6
1706096558987,12.84515,Male,-6
1706096559188,13.04583,Male,-6
1706096559388,13.24599,Male,-6
1706096559591,13.44874,Male,-6
1706096559792,13.64973,Male,-6
1706096559994,13.85164,Male,-6
1706096560197,14.05494,Male,-6
1706096560397,14.25511,Male,-6
1706096560601,14.45876,Male,-6
1706096560801,14.65935,Male,-6
1706096561004,14.86104,Male,-6
1706096561203,15.06105,Male,-6
1706096561404,15.26187,Male,-5.917647
1706096561606,15.46301,Male,-5.716506
1706096561808,15.66624,Male,-5.513273
1706096562012,15.86978,Male,-5.309742
1706096562213,16.07041,Male,-5.10911
1706096562414,16.27234,Male,-4.90718
1706096562617,16.47556,Male,-4.70396
1706096562818,16.67591,Male,-4.503623
1706096563020,16.87801,Male,-4.301516
1706096563225,17.08231,Male,-4.097219
1706096563426,17.28348,Male,-3.896052
1706096563628,17.48571,Male,-3.693824
1706096563830,17.68764,Male,-3.491894
1706096564033,17.8913,Male,-3.288236
1706096564237,18.09491,Male,-3.084631
1706096564441,18.29831,Male,-2.881231
1706096564644,18.50138,Male,-2.678167
1706096564847,18.70545,Male,-2.474098
1706096565049,18.90688,Male,-2.272673
1706096565252,19.10958,Male,-2.06998
