Date,time_from_start,Character_type,position.x
1706095425927,5.648073,Male,-6
1706095426166,5.850853,Male,-6
1706095426367,6.051331,Male,-6
1706095426569,6.253506,Male,-6
1706095426770,6.454288,Male,-6
1706095426970,6.654573,Male,-6
1706095427170,6.85464,Male,-6
1706095427372,7.056671,Male,-6
1706095427573,7.257971,Male,-6
1706095427775,7.459959,Male,-6
1706095427979,7.663665,Male,-6
1706095428182,7.867122,Male,-6
1706095428384,8.069103,Male,-6
1706095428586,8.270141,Male,-6
1706095428786,8.47017,Male,-6
1706095428987,8.671184,Male,-6
1706095429188,8.872309,Male,-6
1706095429388,9.07292,Male,-6
1706095429590,9.274605,Male,-6
1706095429793,9.477441,Male,-6
1706095429995,9.6797,Male,-6
1706095430199,9.882963,Male,-6
1706095430401,10.08569,Male,-6
1706095430603,10.28835,Male,-6
1706095430807,10.49107,Male,-6
1706095431008,10.69279,Male,-6
1706095431210,10.89442,Male,-6
1706095431412,11.0969,Male,-6
1706095431614,11.29888,Male,-6
1706095431815,11.49981,Male,-6
1706095432019,11.70306,Male,-6
1706095432219,11.90334,Male,-6
1706095432419,12.1044,Male,-6
1706095432621,12.30571,Male,-6
1706095432822,12.50707,Male,-6
1706095433026,12.71055,Male,-6
1706095433228,12.91302,Male,-6
1706095433429,13.11352,Male,-6
1706095433630,13.31421,Male,-6
1706095433830,13.5148,Male,-6
1706095434031,13.71609,Male,-6
1706095434233,13.91719,Male,-6
1706095434435,14.11948,Male,-6
1706095434636,14.32045,Male,-6
1706095434840,14.52428,Male,-6
1706095435042,14.72662,Male,-6
1706095435243,14.9278,Male,-6
1706095435443,15.12784,Male,-6
1706095435646,15.331,Male,-6
1706095435847,15.53227,Male,-6
1706095436048,15.73249,Male,-5.966672
1706095436251,15.93588,Male,-5.763294
1706095436453,16.1374,Male,-5.561783
1706095436657,16.34072,Male,-5.358465
1706095436857,16.54171,Male,-5.157488
1706095437058,16.74283,Male,-4.956374
1706095437262,16.94614,Male,-4.75308
1706095437463,17.14801,Male,-4.551214
1706095437665,17.35008,Male,-4.349153
1706095437867,17.55207,Male,-4.147172
1706095438071,17.75561,Male,-3.943641
1706095438271,17.95611,Male,-3.743152
1706095438475,18.15938,Male,-3.539883
1706095438676,18.36059,Male,-3.338685
1706095438878,18.56252,Male,-3.136768
1706095439081,18.76561,Male,-2.933681
1706095439285,18.96934,Male,-2.729964
1706095439486,19.17091,Male,-2.528398
1706095439689,19.3732,Male,-2.326119
1706095439889,19.57335,Male,-2.125981
1706095440089,19.77377,Male,-1.925568
1706095440291,19.97556,Male,-1.80944
1706095440494,20.17884,Male,-1.80944
1706095440698,20.3819,Male,-1.80944
1706095440898,20.58253,Male,-1.80944
1706095441099,20.7832,Male,-1.80944
1706095441300,20.98463,Male,-1.80944
1706095441508,21.19244,Male,-1.80944
1706095441708,21.39304,Male,-1.626876
1706095441911,21.5953,Male,-1.424631
1706095442112,21.79652,Male,-1.223412
1706095442314,21.99899,Male,-1.020958
1706095442517,22.2015,Male,-0.8184534
1706095442720,22.40449,Male,-0.7492376
1706095442922,22.60682,Male,-0.7492376
1706095443123,22.80783,Male,-0.7492376
1706095443324,23.00923,Male,-0.7492376
1706095443527,23.21129,Male,-0.7492376
1706095443729,23.41364,Male,-0.7492376
1706095443930,23.61519,Male,-0.7492376
1706095444133,23.81739,Male,-0.7492376
1706095444334,24.01857,Male,-0.7492376
1706095444535,24.21954,Male,-0.7492376
1706095444735,24.41981,Male,-0.7492376
1706095444938,24.62285,Male,-0.7492376
1706095445139,24.82372,Male,-0.7492376
1706095445342,25.02607,Male,-0.7492376
1706095445542,25.22629,Male,-0.7492376
1706095445745,25.42941,Male,-0.7492376
1706095445945,25.62995,Male,-0.7492376
1706095446147,25.83139,Male,-0.7492376
1706095446349,26.03395,Male,-0.7492376
1706095446550,26.23501,Male,-0.7492376
1706095446750,26.43505,Male,-0.7492376
1706095446952,26.63728,Male,-0.7492376
1706095447157,26.84096,Male,-0.7492376
1706095447357,27.04099,Male,-0.7492376
1706095447560,27.24498,Male,-0.7492376
1706095447763,27.44787,Male,-0.7492376
1706095447966,27.65102,Male,-0.7492376
1706095448167,27.85125,Male,-0.7492376
1706095448369,28.05315,Male,-0.7492376
1706095448571,28.25597,Male,-0.7492376
1706095448773,28.45779,Male,-0.7492376
1706095448976,28.66051,Male,-0.7492376
1706095449176,28.86052,Male,-0.7492376
1706095449377,29.06142,Male,-0.7492376
1706095449579,29.26296,Male,-0.7492376
1706095449782,29.46663,Male,-0.7492376
1706095449984,29.66852,Male,-0.7492376
1706095450186,29.87109,Male,-0.7492376
1706095450388,30.07329,Male,-0.7492376
1706095450592,30.2763,Male,-0.7492376
1706095450793,30.47738,Male,-0.7492376
1706095450996,30.68031,Male,-0.7492376
