Date,time_from_start,Character_type,position.x
1706248881352,9.64003,Male,-6
1706248881592,9.841537,Male,-6
1706248881795,10.0451,Male,-6
1706248881999,10.24879,Male,-6
1706248882200,10.45056,Male,-6
1706248882401,10.6513,Male,-6
1706248882606,10.85576,Male,-6
1706248882808,11.05859,Male,-6
1706248883011,11.26095,Male,-6
1706248883212,11.46229,Male,-6
1706248883414,11.66391,Male,-6
1706248883616,11.86657,Male,-6
1706248883821,12.07157,Male,-6
1706248884024,12.27462,Male,-6
1706248884226,12.47621,Male,-6
1706248884428,12.67777,Male,-6
1706248884629,12.87932,Male,-6
1706248884833,13.08249,Male,-6
1706248885036,13.2864,Male,-6
1706248885236,13.48649,Male,-6
1706248885441,13.69084,Male,-6
1706248885642,13.89264,Male,-6
1706248885844,14.09422,Male,-6
1706248886046,14.29571,Male,-6
1706248886249,14.4993,Male,-6
1706248886454,14.70437,Male,-6
1706248886657,14.9074,Male,-6
1706248886858,15.10834,Male,-6
1706248887060,15.31049,Male,-6
1706248887266,15.51573,Male,-6
1706248887471,15.7215,Male,-6
1706248887676,15.92622,Male,-6
1706248887880,16.12994,Male,-6
1706248888083,16.33329,Male,-6
1706248888284,16.53446,Male,-6
1706248888759,17.00514,Male,-6
1706248888959,17.20976,Male,-6
1706248889162,17.41184,Male,-6
1706248889363,17.61349,Male,-6
1706248889566,17.81645,Male,-6
1706248889773,18.02258,Male,-6
1706248889976,18.22605,Male,-6
1706248890182,18.43266,Male,-6
1706248890385,18.63532,Male,-6
1706248890588,18.83865,Male,-6
1706248890795,19.04514,Male,-6
1706248890999,19.24869,Male,-6
1706248891205,19.45546,Male,-5.961645
1706248891407,19.65739,Male,-5.759717
1706248891609,19.85882,Male,-5.558291
1706248891814,20.06395,Male,-5.353154
1706248892018,20.26865,Male,-5.14846
1706248892224,20.4742,Male,-4.942911
1706248892428,20.67803,Male,-4.739081
1706248892631,20.88084,Male,-4.53627
1706248892835,21.08451,Male,-4.332593
1706248893038,21.28862,Male,-4.128493
1706248893243,21.4931,Male,-3.924004
1706248893444,21.69385,Male,-3.72326
1706248893648,21.89822,Male,-3.51889
1706248893851,22.10093,Male,-3.316184
1706248894053,22.30288,Male,-3.114228
1706248894257,22.5076,Male,-2.909507
1706248894461,22.7111,Male,-2.706008
1706248894661,22.91182,Male,-2.505295
1706248894864,23.11426,Male,-2.302851
1706248895066,23.31622,Male,-2.100894
1706248895269,23.51892,Male,-1.898191
1706248895474,23.72367,Male,-1.693441
1706248895677,23.92694,Male,-1.490175
1706248895879,24.12887,Male,-1.288247
1706248896081,24.33143,Male,-1.085688
1706248896282,24.53168,Male,-0.8854315
1706248896482,24.73275,Male,-0.7447733
1706248896683,24.9331,Male,-0.7447733
1706248896885,25.13475,Male,-0.7447733
1706248897085,25.33535,Male,-0.7447733
1706248897291,25.54126,Male,-0.7447733
1706248897497,25.74709,Male,-0.7447733
1706248897699,25.94914,Male,-0.7447733
1706248897901,26.15151,Male,-0.7447733
1706248898103,26.35323,Male,-0.7447733
1706248898304,26.55399,Male,-0.7447733
1706248898505,26.75508,Male,-0.7447733
1706248898711,26.96086,Male,-0.7447733
1706248898916,27.16631,Male,-0.7447733
1706248899118,27.36812,Male,-0.7447733
1706248899322,27.57277,Male,-0.7447733
1706248899525,27.77515,Male,-0.7447733
1706248899727,27.9769,Male,-0.7447733
1706248899931,28.181,Male,-0.7447733
1706248900134,28.38364,Male,-0.7447733
1706248900338,28.58817,Male,-0.7447733
1706248900541,28.79132,Male,-0.7447733
1706248900743,28.99323,Male,-0.7447733
1706248900948,29.19844,Male,-0.7447733
1706248901151,29.40143,Male,-0.7447733
1706248901352,29.60183,Male,-0.7447733
1706248901556,29.80663,Male,-0.7447733
1706248901758,30.0081,Male,-0.7447733
1706248901958,30.20835,Male,-0.7447733
1706248902161,30.4111,Male,-0.7447733
1706248902364,30.61463,Male,-0.7447733
1706248902569,30.81915,Male,-0.7447733
1706248902771,31.02096,Male,-0.7447733
1706248902971,31.22151,Male,-0.7447733
1706248903175,31.4249,Male,-0.7447733
1706248903379,31.62957,Male,-0.7447733
1706248903579,31.82974,Male,-0.7447733
1706248903783,32.03269,Male,-0.7447733
1706248903983,32.2331,Male,-0.7447733
1706248904185,32.43602,Male,-0.7447733
1706248904387,32.63688,Male,-0.7447733
1706248904590,32.84047,Male,-0.7447733
1706248904794,33.04376,Male,-0.7447733
1706248904995,33.24554,Male,-0.7447733
1706248905196,33.446,Male,-0.7447733
1706248905396,33.64601,Male,-0.7447733
1706248905601,33.8509,Male,-0.7447733
1706248905801,34.05183,Male,-0.7447733
1706248906004,34.25492,Male,-0.7447733
1706248906209,34.45903,Male,-0.7447733
1706248906416,34.66606,Male,-0.7447733
1706248906617,34.8672,Male,-0.9365215
1706248906818,35.06818,Male,-1.137378
1706248907018,35.2686,Male,-1.33767
1706248907221,35.47126,Male,-1.540204
1706248907425,35.67513,Male,-1.743932
1706248907629,35.87923,Male,-1.947912
1706248907831,36.08072,Male,-2.149275
1706248908034,36.28354,Male,-2.351966
1706248908235,36.48575,Male,-2.554047
1706248908438,36.68847,Male,-2.756634
1706248908640,36.89002,Male,-2.958055
1706248908840,37.09071,Male,-3.158625
1706248909041,37.29127,Male,-3.35905
1706248909243,37.49329,Male,-3.560948
1706248909448,37.69812,Male,-3.765646
1706248909651,37.90068,Male,-3.968072
1706248909855,38.10471,Male,-4.171976
1706248910059,38.30944,Male,-4.376581
1706248910259,38.50959,Male,-4.576594
1706248910461,38.71153,Male,-4.778409
